滑坡隐患点 48197
108.11 28.3289 5222270010S
107.8067 28.1322 5222270011S
108.1508 28.5561 5222270015S
108.4706 28.6211 5222280017S
104.7506 24.7969 5223010020S
105.0394 25.4558 5223220009S
105.24 25.4056 5223220016S
105.0575 25.4658 5223220021S
124.4269 42.3664 2112820002S
124.4519 42.3875 2112820003S
124.5042 42.2625 2112820004S
106.5581 27.1403 5201220018S
106.7089 27.085 5201220020S
106.7114 27.0883 5201220035S
106.1739 26.8528 5201810007S
104.8233 26.7367 5202010007S
105.4853 26.1264 5202030010S
104.6556 26.3125 5202210009S
108.0775 26.39 5226340002S
107.6419 26.6494 5227020010S
108.0014 26.6606 5226340002S
108.1069 26.2794 5226340004S
108.097 26.1911 5226360002S
107.5411 26.1047 5227010006S
108.1081 26.3917 5226340002S
109.6033 33.3542 6110240494S
109.6064 33.3708 6110240495S
109.6197 33.3694 6110240496S
109.6369 33.3672 6110240497S
109.65 33.3742 6110240498S
109.6803 33.3931 6110240499S
109.6989 33.4122 6110240501S
109.6647 33.4039 6110240502S
109.6481 33.445 6110240503S
109.66 33.405 6110240505S
109.6072 33.4425 6110240506S
109.6222 33.4281 6110240507S
101.6386 36.4772 6301220040S
101.6389 36.4775 6301220041S
101.5642 36.4958 6301220042S
101.5664 36.4981 6301220043S
101.5367 36.6394 6301220044S
101.6878 36.2461 6301220045S
101.57 36.4908 6301220046S
101.4575 36.6903 6301220047S
101.4625 36.5028 6301220048S
101.4425 36.5225 6301220049S
101.5578 36.7233 6301220051S
101.4656 36.5022 6301220052S
107.1683 30.1261 5001150348S
106.2564 30.1094 5001150349S
107.2375 30.0922 5001150350S
107.1394 29.8306 5001150351S
107.4136 29.9792 5001150352S
106.3586 29.0428 5001160412S
106.41 29.0844 5001160413S
106.3578 29.0342 5001160414S
106.3369 29.0794 5001160415S
106.3922 29.0672 5001160416S
106.3447 29.0517 5001160417S
106.4228 29.0883 5001160418S
106.4206 29.0872 5001160419S
106.4656 29.0631 5001160420S
106.3808 29.0836 5001160421S
106.4631 29.0594 5001160422S
106.4036 29.0569 5001160424S
106.4236 29.075 5001160425S
106.4631 29.0594 5001160426S
106.365 29.0589 5001160427S
106.4475 29.0278 5001160428S
106.3567 29.065 5001160429S
106.4558 29.0314 5001160430S
106.4036 29.0569 5001160431S
106.4775 29.0481 5001160432S
106.3569 29.0325 5001160433S
106.3767 29.0981 5001160434S
106.3997 29.0742 5001160435S
106.3425 29.1181 5001160436S
114 24 4416230013S
114 24 4416230014S
106.9706 29.4425 5001190085S
106.9706 29.4425 5001190086S
106.9706 29.4425 5001190087S
106.9706 29.4425 5001190088S
106.9706 29.4425 5001190090S
106.9706 29.4425 5001190091S
106.9706 29.4425 5001190092S
106.9706 29.4425 5001190093S
106.9706 29.4425 5001190094S
106.9706 29.4425 5001190095S
106.9706 29.4425 5001190097S
106.9706 29.4425 5001190098S
106.9706 29.4425 5001190099S
106.9706 29.4425 5001190101S
106.9706 29.4425 5001190103S
106.9706 29.4425 5001190104S
106.9706 29.4425 5001190105S
106.9706 29.4425 5001190106S
106.9706 29.4425 5001190107S
106.9706 29.4425 5001190108S
106.9706 29.4425 5001190109S
107.0147 29.3433 5001190110S
107.0147 29.3433 5001190111S
107.0697 29.3189 5001190112S
107.0147 29.3433 5001190113S
108.2622 28.1747 5222270017S
108.3314 28.6633 5222280032S
108.5664 28.4761 5222280036S
104.7081 24.985 5223010018S
105.3953 25.37 5223220018S
105.1892 25.5392 5223220029S
104.872 25.4203 5223230039S
104.9158 26.7831 5202210032S
104.9042 26.77 5202210033S
105.0803 26.4344 5202210039S
104.715 26.3472 5202210041S
104.7644 26.1353 5202210063S
105.0506 26.4533 5202210066S
105.1233 26.3058 5202210080S
104.77 26.5017 5202210098S
104.5592 26.0194 5202220001S
104.5706 26.1456 5202220025S
104.8431 24.9525 5223010004S
104.7536 24.9694 5223010011S
105.0167 24.8797 5223010022S
105.4386 25.6267 5223220015S
105.0411 26.1561 5223230001S
104.9583 25.8583 5223230004S
105.0806 25.8 5223230017S
104.935 25.3903 5223230024S
104.86 25.4206 5223230026S
105.0361 25.8561 5223230034S
105.0847 25.7153 5223230038S
106.9206 30.0075 5001150287S
106.9722 29.9892 5001150288S
106.9775 29.9911 5001150289S
106.8781 29.9925 5001150290S
106.8831 29.9908 5001150291S
106.8817 30.0106 5001150292S
106.895 30.0308 5001150293S
106.4125 28.7306 5001160347S
106.3875 28.7431 5001160348S
106.4225 28.7139 5001160349S
101.4564 36.5244 6301220053S
101.4267 36.7442 6301220054S
101.6794 36.4272 6301220055S
101.6642 36.4483 6301220056S
101.5097 36.4864 6301220057S
101.8206 36.4119 6301220058S
101.43 36.7519 6301220059S
101.565 36.485 6301220060S
101.5825 36.4911 6301220061S
101.1172 36.6358 6301230009S
101.1892 36.7136 6301230011S
101.1675 36.785 6301230014S
102.0992 36.3897 6321210001S
101.9014 36.4342 6321210002S
101.9133 36.3922 6321210003S
102.7625 35.9275 6321220001S
102.7606 35.9289 6321220002S
102.7406 35.9319 6321220003S
102.7881 35.9275 6321220004S
102.7683 36.0514 6321220005S
102.9125 36.0325 6321220006S
102.7667 36.0667 6321220007S
101.2261 26.8669 5307230003S
101.1678 26.8661 5307230005S
101.1664 26.8633 5307230006S
101.1689 26.8489 5307230007S
101.2517 26.8886 5307230001S
101.2486 26.8792 5307230002S
101.2536 26.8364 5307230010S
101.2972 26.8608 5307230013S
101.222 26.6561 5307230022S
101.1889 26.7028 5307230016S
101.1197 26.7467 5307230014S
101.2061 26.7247 5307230017S
101.3056 26.5953 5307230028S
101.2419 26.5781 5307230036S
114.7522 24.165 4416230017S
114.6336 24.5144 4416230021S
114.6333 24.5106 4416230022S
114.6389 24.5081 4416230024S
117.2019 40.0469 1202250001S
117.205 40.0011 1202250002S
117.3489 40.0531 1202250003S
117.365 40.0419 1202250004S
117.365 40.05 1202250005S
117.3594 40.1472 1202250006S
117.5228 40.0981 1202250007S
117.5153 40.2144 1202250008S
117.3192 40.1133 1202250009S
117.5295 40.0964 1202250010S
117.3297 40.095 1202250011S
117.35 40.05 1202250012S
117.5086 40.0764 1202250013S
117.4664 40.1933 1202250014S
106.6458 28.3942 5203300010S
106.4036 28.1986 5203300011S
106.4611 28.1989 5203300020S
106.0831 28.3894 5203810002S
106.1775 28.5114 5203810022S
106.1128 26.3833 5204210001S
105.4733 26.2867 5204220002S
108.0664 28.7608 5203260005S
107.512 27.2592 5203290010S
107.82 27.2778 5203290012S
106.0972 28.2267 5203300002S
106.1228 28.5572 5203810004S
106 28.6744 5203810016S
106.5333 27.9864 5203820002S
111.45 23.1611 4453220064S
111.4167 23.0881 4453220068S
115.805 24.8311 4414260079S
115.8553 24.8594 4414260080S
116.37 24.82 4414270005S
115.6353 24.4125 4414810000S
115.5775 24.3539 4414810011S
115.6658 24.0958 4414810018S
116.9514 23.8506 4451220088S
116.9417 23.9539 4451220094S
115.7817 23.4894 4452220001S
115.8425 23.5836 4452220002S
115.8042 23.49 4452220003S
115.8042 23.49 4452220007S
115.8425 23.5836 4452220008S
115.912 23.3814 4452220014S
115.7833 23.4939 4452220017S
112.0642 22.5172 4453210014S
112.1531 22.5322 4453210019S
112.2103 22.5508 4453210020S
111.8161 22.8725 4453220024S
111.8575 22.8933 4453220025S
111.7167 22.9203 4453220034S
123.2253 39.7125 2102830002S
114.7075 24.3722 4416230123S
115.04 24.3808 4416240007S
115.155 24.5661 4416240011S
114.7817 24.3653 4416240017S
114.7817 24.3653 4416240018S
106.4975 28.6472 5001160350S
106.4986 28.6528 5001160351S
106.4564 28.6311 5001160352S
106.4775 28.6464 5001160353S
106.4811 28.6528 5001160354S
106.4844 28.6792 5001160355S
106.4811 28.6669 5001160356S
106.4894 28.6506 5001160357S
106.4625 28.6458 5001160358S
106.0261 28.9503 5001160359S
106.0339 28.9842 5001160360S
106.0469 28.9158 5001160361S
106.012 28.9581 5001160362S
106.0195 28.9675 5001160363S
106.0331 28.9806 5001160364S
106.0542 28.9256 5001160365S
106.0847 28.9536 5001160366S
106.0617 28.9244 5001160367S
106.0775 29.2686 5001160368S
106.1033 29.2967 5001160369S
106.08 29.2811 5001160370S
106.2078 28.1992 5203300021S
106.0597 28.5339 5203810009S
106.0836 28.5322 5203810010S
106.0783 28.5561 5203810011S
106.1 27.6908 5203820005S
106.2778 27.7025 5203820008S
106.0981 26.4089 5204210007S
106.6089 27.1653 5201220015S
108.9345 27.8333 5222220001S
108.3142 28.9 5222280041S
105.1481 25.3781 5223220039S
101.2575 26.58 5307230037S
101.2433 26.5397 5307230043S
101.2514 26.5372 5307230044S
101.2253 26.5144 5307230040S
101.2247 26.5067 5307230041S
101.2242 26.5028 5307230042S
113.5664 27.6542 4302810042S
113.6228 27.6658 4302810043S
113.5903 27.6794 4302810044S
113.4064 27.4539 4302810045S
113.395 27.4583 4302810046S
113.3981 27.675 4302810047S
113.6667 27.7983 4302810048S
113.6667 27.7983 4302810049S
113.4367 27.8167 4302810050S
112.8078 25.3647 4310220006S
112.9083 25.3208 4310220007S
112.9111 25.3208 4310220008S
112.9092 25.2444 4310220022S
112.825 25.0269 4310220024S
113.2161 25.5364 4310220050S
87.0006 42.7931 6528271001S
101.2469 26.8114 5307230012S
101.2594 26.4919 5307230047S
115.4186 23.3231 4416210011S
115.1417 23.4861 4416210014S
114.7703 23.3053 4416210015S
115.3056 23.4436 4416210016S
114.9072 23.7075 4416210017S
115.3747 23.7103 4416210026S
108.3133 28.9467 5222280016S
104.7553 24.7972 5223010019S
105.4089 25.7556 5223220023S
105.2808 25.5344 5223220025S
105.3925 25.4022 5223220033S
104.8483 25.4678 5202220021S
104.4956 25.9431 5202220036S
104.6953 25.6092 5202220039S
104.8508 25.8639 5202220044S
106.7578 28.0844 5203220025S
107.5567 28.6686 5203250016S
107.5136 29.0561 5203250039S
107.6717 27.6278 5203290011S
106.3075 28.4033 5203300012S
106.2153 28.3369 5203300015S
106.3458 28.1556 5203300018S
106.0183 28.1531 5203300029S
105.9139 28.6786 5203810017S
106.3597 27.9953 5203820016S
108.9247 27.8092 5222220004S
108.1628 27.515 5222240014S
108.0836 27.6842 5222250015S
108.2067 27.8778 5222250016S
107.1711 28.4697 5203240003S
107.6131 28.8836 5203250011S
107.6561 28.9753 5203250042S
107.9583 28.9058 5203260003S
107.8181 27.2389 5203290003S
107.2778 29.8831 5001150229S
107.2806 29.8808 5001150230S
115.1467 24.5925 4416240013S
115.1467 24.5925 4416240015S
114.9489 24.3189 4416240029S
115.1989 24.3811 4416240035S
115.1989 24.3811 4416240038S
115.1461 24.3608 4416240040S
111.3725 22.1436 4417810001S
111.3611 22.1925 4417810007S
112.6011 24.4864 4418230001S
112.6272 24.4894 4418230004S
112.6806 24.6469 4418230006S
112.6508 24.6514 4418230008S
112.7078 24.735 4418230009S
115.1111 24.6644 4416240024S
115.0978 24.625 4416240026S
114.9669 24.3075 4416240031S
114.9669 24.3075 4416240033S
115.1989 24.3811 4416240036S
111.3767 22.1342 4417810003S
106.6492 30.1667 5001170045S
106.6275 30.14 5001170046S
106.6336 30.1019 5001170047S
106.6528 30.1278 5001170048S
106.6197 30.11 5001170049S
105.8144 29.3094 5001180063S
104.9795 25.4172 5223230008S
104.885 25.6064 5223230014S
104.9017 25.7739 5223230018S
105.1944 25.9547 5223240005S
106.3478 25.2014 5223260027S
105.5092 25.2864 5223280001S
105.9867 26.8197 5224230002S
105.5897 26.7869 5224260007S
105.3661 26.8044 5224260012S
107.5622 28.6825 5203250020S
107.4364 27.445 5203280001S
104.7531 27.3775 5203290005S
106.3492 28.1608 5203300016S
106.3472 28.1583 5203300017S
106.5514 28.6031 5203300033S
106.0719 28.5458 5203810001S
105.9003 28.6706 5203810018S
106.3425 27.8211 5203820004S
106.3561 27.9944 5203820015S
105.0133 25.4206 5223220022S
105.315 25.4344 5223220046S
107.7117 28.9375 5203250028S
104.9378 25.9519 5223230019S
104.8822 25.4675 5223230027S
104.9961 25.8575 5223230031S
105.1292 26.065 5223240006S
105.1131 26.0656 5223240010S
105.0806 25.6514 5223240014S
105.1475 26.1325 5223240016S
106.1261 25.4156 5223260013S
115.2247 23.7347 4416210029S
115.3581 24.1158 4416220001S
115.2847 24.1069 4416220003S
115.1344 24.1636 4416220008S
115.2514 24.2078 4416220016S
115.2744 24.3369 4416220018S
115.2492 24.2781 4416220020S
115.3122 23.9444 4416220034S
115.3336 23.9292 4416220036S
115.4122 24.1778 4416220039S
115.3769 24.1639 4416220041S
115.3781 24.2736 4416220042S
115.3172 24.3272 4416220047S
115.3828 24.3633 4416220048S
115.3333 24.5325 4416220052S
115.3814 24.6378 4416220077S
115.3689 24.4239 4416220079S
115.3908 24.7414 4416220080S
114.2981 24.3964 4416230002S
109.7244 33.2675 6110240509S
109.7325 33.2664 6110240510S
109.7353 33.2669 6110240511S
109.7042 33.2578 6110240512S
109.6786 33.2631 6110240514S
109.6539 33.2711 6110240515S
109.6261 33.2986 6110240516S
109.5842 33.2969 6110240517S
109.6042 33.315 6110240518S
109.6139 33.3133 6110240519S
109.6083 33.3044 6110240520S
109.6247 33.3283 6110240521S
107.2744 29.8706 5001150231S
107.2733 29.8497 5001150232S
106.425 29.3339 5001160281S
106.4217 29.3356 5001160282S
106.4217 29.3389 5001160283S
106.4189 29.3472 5001160284S
106.4217 29.3389 5001160285S
106.4694 29.2617 5001160286S
106.4875 29.2228 5001160287S
106.4919 29.2278 5001160288S
106.4808 29.2267 5001160289S
106.5039 29.2356 5001160290S
106.4989 29.2517 5001160291S
106.4853 29.2275 5001160292S
106.4833 29.2322 5001160293S
106.4531 29.2442 5001160294S
106.4817 29.2519 5001160295S
106.4194 29.2772 5001160296S
105.9211 29.0378 5001160303S
105.88 28.9436 5001160304S
106.0139 28.9703 5001160305S
105.8964 28.9792 5001160306S
106.0136 28.9703 5001160307S
105.8947 28.9222 5001160308S
106.3547 29.0442 5001160437S
106.3572 29.0775 5001160438S
105.8064 29.2208 5001180064S
105.7983 29.3553 5001180065S
105.7983 29.3444 5001180066S
105.7811 29.3336 5001180067S
105.7786 29.31 5001180068S
105.8175 29.3442 5001180071S
105.7889 29.4117 5001180072S
105.8039 29.4344 5001180073S
105.815 29.3906 5001180074S
105.842 29.4106 5001180076S
105.6658 29.2928 5001180077S
105.9803 29.2803 5001180078S
105.9644 29.3192 5001180079S
105.9836 29.2861 5001180080S
106.02 29.2711 5001180081S
106.9394 29.1558 5001180083S
105.9939 29.385 5001180084S
106.0106 29.3903 5001180085S
105.765 29.1758 5001180086S
105.4439 29.0914 5001180087S
105.4722 29.1014 5001180088S
105.812 29.2008 5001180089S
105.7942 29.1961 5001180090S
105.5825 29.1217 5001180091S
105.5728 29.1111 5001180092S
105.5725 29.145 5001180093S
105.9053 29.0706 5001180095S
107.0697 29.3189 5001190114S
107.0697 29.3189 5001190115S
107.0697 29.3189 5001190116S
107.0697 29.3189 5001190117S
107.0697 29.3189 5001190118S
107.0697 29.3189 5001190119S
105.2967 27.0892 5224260019S
105.2042 26.9375 5224260025S
104.595 26.8142 5224270002S
104.3406 26.6994 5224270012S
108.4906 26.7686 5226290002S
108.9747 26.1967 5226310001S
108.2286 25.8439 5226320001S
108.2286 25.8439 5226320001S
108.8597 25.8375 5226330004S
105.4136 25.3753 5223220050S
104.9222 25.8425 5223230012S
104.9578 25.8728 5223230015S
105.3022 25.6797 5223240008S
105.2547 25.5697 5223240011S
105.5431 25.6811 5223250010S
105.8092 25.1944 5223250012S
106.1811 25.3086 5223260002S
106.0117 25.4683 5223260008S
106.3475 25.3111 5223260017S
105.4869 25.2889 5223280003S
105.8867 26.9242 5224230011S
105.3039 25.7897 5223240017S
105.5222 25.4014 5223250007S
105.5347 25.3964 5223250008S
105.9989 25.2969 5223260009S
122.6661 39.885 2102830035S
122.6936 39.7947 2102830036S
122.7369 39.8653 2102830037S
122.7503 39.8756 2102830038S
122.6969 39.8267 2102830039S
122.6906 39.8261 2102830040S
122.6978 39.8094 2102830041S
109.6292 33.3228 6110240522S
109.6439 33.3325 6110240523S
109.7447 33.3422 6110240524S
109.855 33.3747 6110240525S
109.8492 33.3742 6110240526S
109.8592 33.375 6110240528S
109.8614 33.3742 6110240529S
121.3764 28.5819 3310040002S
118.7269 25.9847 3501241001S
118.7733 26.0753 3501241002S
118.8439 26.3411 3501241005S
118.8439 26.3411 3501241006S
118.7308 26.1372 3501241008S
118.7308 26.1372 3501241009S
119.7956 25.6133 3501281001S
119.8944 25.5997 3501281002S
109.5728 33.4133 6110240508S
102.9217 36.1356 6321220010S
102.9108 36.1561 6321220011S
102.9133 36.1467 6321220012S
102.8847 36.0969 6321220013S
102.8944 36.0983 6321220014S
102.6861 36.2419 6321220015S
102.5881 36.2969 6321220016S
102.6322 36.2775 6321220017S
102.8506 36.2378 6321220018S
102.8397 36.1786 6321220019S
102.7833 36.3258 6321220020S
102.8122 36.2656 6321220021S
102.7861 36.3456 6321220022S
102.7386 36.0033 6321220029S
106.4075 29.1381 5001160439S
106.4028 29.0536 5001160440S
106.3583 29.0514 5001160441S
106.3539 29.0369 5001160442S
106.4003 29.1544 5001160443S
106.5478 30.2428 5001170151S
106.5869 30.2758 5001170153S
106.6045 30.2489 5001170154S
106.5397 30.2436 5001170155S
106.5306 30.2542 5001170156S
106.5742 30.305 5001170157S
106.5511 30.3058 5001170158S
106.5669 30.2389 5001170159S
106.5595 30.3089 5001170160S
106.6183 30.2703 5001170161S
106.5533 30.235 5001170162S
106.6153 30.2422 5001170163S
106.5308 30.2492 5001170164S
106.5531 30.2358 5001170165S
106.5669 30.2342 5001170166S
106.5633 30.2369 5001170167S
106.5392 30.2553 5001170168S
106.5778 30.2564 5001170169S
106.5875 30.2403 5001170170S
106.5517 30.3083 5001170171S
106.5658 30.2664 5001170172S
106.6047 30.2394 5001170173S
106.5658 30.2664 5001170174S
106.6047 30.2394 5001170175S
105.4911 26.3169 5204220001S
105.5717 26.2367 5204220006S
102.5764 22.9589 5325280203S
102.5706 22.9114 5325280204S
102.5708 23.0328 5325280199S
102.6425 23.2697 5325280190S
102.662 23.255 5325280191S
102.6644 23.1169 5325280176S
102.6286 23.0747 5325280177S
102.6836 23.1058 5325280178S
102.6817 23.1072 5325280179S
103.1303 23.0522 5325280144S
102.6367 23.1058 5325280175S
103.0864 23.0247 5325280146S
103.0853 23.0208 5325280147S
103.1022 23.0089 5325280148S
103.097 22.9858 5325280149S
103.1133 22.9739 5325280150S
103.15 22.9925 5325280151S
103.0956 23.0497 5325280152S
103.0475 22.8997 5325280153S
103.0933 22.9342 5325280154S
103.0689 22.9228 5325280155S
103.0747 22.9081 5325280156S
103.0711 22.9042 5325280157S
103.1278 22.8494 5325280158S
103.1447 22.87 5325280159S
103.1053 22.8739 5325280160S
103.1031 22.8811 5325280161S
103.0992 22.8819 5325280162S
102.522 36.2992 6321230020S
102.0283 36.9528 6321260001S
101.9747 36.9225 6321260002S
101.8789 36.9019 6321260003S
101.9428 36.9364 6321260004S
101.9383 36.9244 6321260005S
102.4806 36.9358 6321260006S
102.6175 36.8567 6321260007S
108.2678 28.8186 5222280013S
108.3056 28.9986 5222280037S
109.2453 27.505 5222300001S
105.2403 25.4097 5223220014S
104.9603 25.8564 5223230006S
105.0231 25.7258 5223230009S
104.9703 25.9422 5223230016S
105.0497 25.8953 5223230032S
105.6025 24.8906 5223270004S
105.7825 24.9586 5223270006S
106.2889 27.4492 5224240001S
105.5833 26.8203 5224260033S
103.8981 26.7589 5224270006S
105.1089 25.8019 5223240001S
105.5256 25.5558 5223250005S
105.8008 25.2644 5223250006S
106.4867 25.2122 5223260001S
106.0656 25.3672 5223260007S
106.1794 25.2242 5223260024S
105.8564 25.0422 5223270001S
105.9228 25.0878 5223270002S
106.3381 27.2392 5224230013S
102.9583 23.0811 5325280106S
102.9761 23.05 5325280105S
103.0069 23.0694 5325280108S
102.8586 23.1217 5325280109S
102.9811 23.0567 5325280110S
102.9697 23.1111 5325280111S
102.9797 23.1164 5325280112S
102.9975 23.0672 5325280113S
103.0342 23.0689 5325280114S
102.9222 23.0733 5325280085S
102.9192 23.0711 5325280086S
101.1164 26.5325 5307230038S
101.1275 26.5125 5307230039S
101.0633 26.6208 5307230023S
101.2431 26.8658 5307230004S
101.2078 26.8353 5307230008S
101.2447 26.8511 5307230009S
101.2311 26.8094 5307230011S
126.6094 41.9422 2206040002S
126.5472 42.0206 2206040003S
127.0931 42.0908 2206040004S
126.5439 42.0014 2206040005S
126.6078 42.0822 2206040006S
126.5922 41.9031 2206040007S
126.6156 42.0453 2206040008S
127.2872 42.3217 2206210001S
127.37 42.2383 2206210002S
127.0581 42.5775 2206220001S
127.2478 42.3347 2206220001S
127.2519 42.335 2206220002S
129.8383 42.985 2224020001S
129.8217 42.9594 2224020002S
129.7547 42.9556 2224020003S
130.6467 42.9297 2224040001S
130.1783 43.0992 2224040002S
131.1483 43.3419 2224040003S
131.1461 43.3419 2224040004S
129.5353 42.6667 2224050001S
129.6347 42.695 2224050002S
129.4117 42.4481 2224050003S
129.0183 42.5431 2224060001S
128.9864 42.5528 2224060002S
129.6347 43.4272 2224240001S
129.7472 43.2614 2224240002S
129.6511 43.2831 2224240003S
129.4106 43.3939 2224240005S
101.2011 26.5969 5307230025S
114 24 4416230065S
112.35 26.58 4304220105S
112.38 26.57 4304220106S
119.4203 27.7831 3311270013S
119.4722 27.825 3311270014S
119.4722 27.825 3311270015S
119.3661 27.7203 3311270004S
119.4653 27.7606 3311270001S
119.5469 27.9564 3311270002S
105.7692 32.4725 5108020006S
105.8425 32.3356 5108020010S
105.7819 32.3356 5108020008S
105.9839 32.4467 5108020011S
105.505 32.38 5108020001S
106.0939 32.4506 5108020004S
105.9839 32.4308 5108020007S
105.5008 32.4028 5108020002S
105.6906 32.5067 5108020009S
105.9828 32.4467 5108020005S
105.6367 32.5331 5108020003S
113.6492 28.1425 4301810002S
116.9758 26.595 3504210006S
112.5731 26.7931 4304060012S
113.4658 27.0061 4302230002S
113.0586 27.9278 4302040004s
110.5242 29.2807 4308110095S
110.3292 29.3685 4308111006S
110.3669 29.3804 4308111008S
110.3194 29.3576 4308110020S
110.3486 29.3681 4308110021S
110.3528 29.3679 4308110022S
110.3755 29.3811 4308111007S
110.3219 29.3518 4308111011S
101.912 36.8719 6321260008S
101.9206 36.8589 6321260009S
101.9275 36.8242 6321260010S
102.0658 36.8092 6321260011S
102.0708 36.8078 6321260012S
101.8172 36.8081 6321260013S
102.1053 36.8308 6321260014S
102.0589 36.7872 6321260015S
102.0536 36.7722 6321260016S
102.0503 36.7681 6321260017S
102.0644 36.7642 6321260018S
102.0597 36.7514 6321260019S
102.05 36.7408 6321260020S
102.0339 36.7114 6321260021S
102.1372 36.795 6321260022S
102.1083 36.7069 6321260023S
101.7978 36.7492 6321260024S
101.8495 36.6806 6321260025S
101.9575 36.7864 6321260026S
101.9633 36.7714 6321260027S
102.0183 36.7453 6321260028S
101.9967 36.7225 6321260029S
122.8014 40.3947 2108820003S
122.8095 40.3978 2108820004S
122.9025 40.335 2108820005S
122.9 40.3294 2108820006S
122.9011 40.3425 2108820007S
122.8014 40.3917 2108820008S
122.7922 40.3839 2108820009S
122.7797 40.4894 2108820010S
122.8839 40.4444 2108820011S
122.9858 40.4372 2108820012S
122.9867 40.4386 2108820013S
102.9242 23.0978 5325280087S
102.9086 23.1097 5325280088S
102.9311 23.09 5325280089S
102.9217 23.0697 5325280090S
102.9111 23.065 5325280091S
102.9222 23.07 5325280092S
102.9172 23.0608 5325280093S
102.9186 23.0736 5325280094S
102.9561 23.0928 5325280095S
102.9972 23.0858 5325280096S
102.9383 23.0472 5325280097S
102.97 23.1253 5325280098S
102.96 23.0714 5325280099S
102.9883 23.0642 5325280100S
102.9769 23.1422 5325280101S
102.9933 23.1597 5325280102S
102.9767 23.1428 5325280103S
102.9969 23.1594 5325280104S
103.0053 23.1594 5325280107S
102.76 23.1717 5325280069S
102.7269 23.1383 5325280070S
102.7322 23.1453 5325280071S
102.8306 23.1064 5325280072S
102.8606 23.0861 5325280073S
102.9203 23.0725 5325280082S
102.9264 23.0889 5325280083S
102.9206 23.0778 5325280084S
101.6789 36.8942 6301210011S
101.777 36.8403 6301210012S
101.4533 36.6933 6301220001S
101.4544 36.7531 6301220002S
101.4408 36.7539 6301220003S
101.4347 36.7539 6301220004S
101.4581 36.8061 6301220005S
101.4267 36.7736 6301220006S
114 24 4416230068S
114 24 4416230070S
114 24 4416230076S
114.4217 24.1742 4416230090S
114.3883 24.1844 4416230092S
114.4164 24.1497 4416230096S
114.435 24.1306 4416230097S
114 24 4416230101S
114.4892 24.3506 4416230105S
114.6717 24.3731 4416230109S
114 24 4416230115S
114 24 4416230117S
114.6789 24.4206 4416230120S
114.942 24.4494 4416240001S
115.0878 24.5119 4416240002S
115.1267 24.3408 4416240003S
115.0595 24.42 4416240004S
115.0644 24.3669 4416240006S
115.155 24.5661 4416240010S
115.1467 24.5925 4416240014S
114.9642 24.5447 4416240020S
115.1858 24.6686 4416240021S
115.1111 24.6644 4416240022S
115.1111 24.6644 4416240023S
114.9489 24.3189 4416240028S
114.9669 24.3075 4416240032S
115.1989 24.3811 4416240037S
111.3633 22.2036 4417810004S
111.3586 22.2081 4417810006S
112.2431 28.275 4309220015S
111.9194 28.3717 4309220017S
110.6428 29.3551 4308110056S
110.3103 29.3506 4308111010S
110.3261 29.3692 4308111004S
110.3248 29.3653 4308111005S
110.375 29.3836 4308111002S
110.3135 29.3808 4308111003S
110.4943 29.4221 4308110115S
110.4827 29.4118 4308110113S
110.4893 29.3937 4308110114S
110.5156 29.2857 4308111087S
110.5187 29.2706 4308111088S
110.4258 29.3618 4308110109S
110.5393 29.2295 4308110108S
110.4932 29.302 4308111086S
110.4739 29.415 4308110112S
110.4673 29.41 4308110111S
110.4775 29.3746 4308110110S
110.5306 29.2288 4308110107S
110.3868 29.3938 4308110123S
110.5348 29.2316 4308111094S
110.5235 29.2327 4308110106S
110.5043 29.2865 4308111089S
110.5119 29.2708 4308110096S
120.3736 27.9686 3303810010S
120.3636 27.9303 3303810016S
120.3797 27.9458 3303810011S
120.3622 27.9456 3303810007S
119.775 29.2494 3307030010S
119.44 29.93 3301220001S
119.3817 29.9486 3301220008S
119.3967 29.9694 3301220007S
119.4175 29.9236 3301220009S
119.8625 30.6111 3305210038S
119.8608 30.6031 3305210037S
120.8192 28.3222 3303240003S
121.275 39.5186 2102810007S
121.3322 39.4906 2102810008S
121.3322 39.4906 2102810009S
121.4658 39.6183 2102810004S
121.5072 39.5833 2102810005S
121.73 39.1164 2102130002S
104.855 26.6322 5202010010S
106.4278 27.0275 5201230002S
106.4744 26.6736 5201810003S
105.0603 26.445 5202210040S
104.715 26.3472 5202210041S
104.7419 26.2558 5202210043S
104.62 26.5164 5202210052S
104.8619 26.4647 5202210053S
104.8328 26.1642 5202210065S
105.1319 26.2822 5202210079S
104.9992 26.5761 5202210103S
104.6483 26.0303 5202220050S
104.8358 25.5028 5202220058S
106.9258 28.62 5203220011S
107.175 28.3383 5203230003S
107.4528 28.5128 5203240001S
106.2658 27.2486 5224230021S
105.0806 26.7689 5224260014S
105.3622 26.5656 5224260020S
105.1997 26.9417 5224260026S
105.0411 26.8536 5224260031S
104.675 26.6489 5224270017S
107.9075 26.4825 5226010011S
108.165 25.8494 5226320004S
105.9617 28.3308 5203810023S
107.5 26.3356 5227010002S
107.7328 26.0867 5227010004S
107.2928 26.8758 5227020002S
107.6147 27.1153 5227250001S
107.5494 25.8867 5227260002S
106.6361 25.1675 5227280003S
108.2964 28.7056 5222280019S
108.4975 28.5544 5222280042S
104.7506 25.1253 5223010026S
105.0961 25.4156 5223220017S
105.2695 25.5367 5223220027S
105.1567 25.4183 5223220042S
